the clash,2012-10-22,3,2.4703558E-4
the vines,2012-10-22,1,8.234519E-5
van halen,2012-10-22,5,4.1172595E-4
alex clare,2012-10-22,9,7.411067E-4
asher roth,2012-10-22,5,4.1172595E-4
awolnation,2012-10-22,8,6.5876154E-4
beach boys,2012-10-22,4,3.2938077E-4
ben howard,2012-10-22,2,1.6469038E-4
billy joel,2012-10-22,8,6.5876154E-4
bob marley,2012-10-22,61,0.0050230566
bruno mars,2012-10-22,65,0.0053524375
buckcherry,2012-10-22,2,1.6469038E-4
cher lloyd,2012-10-22,9,7.411067E-4
disclosure,2012-10-22,1,8.234519E-5
don mclean,2012-10-22,1,8.234519E-5
ed sheehan,2012-10-22,2,1.6469038E-4
gary allan,2012-10-22,4,3.2938077E-4
ghost town,2012-10-22,5,4.1172595E-4
goldfinger,2012-10-22,3,2.4703558E-4
hoobastank,2012-10-22,1,8.234519E-5
jack white,2012-10-22,8,6.5876154E-4
jason mraz,2012-10-22,7,5.764163E-4
jawbreaker,2012-10-22,1,8.234519E-5
katy perry,2012-10-22,50,0.0041172598
luke bryan,2012-10-22,83,0.006834651
neil young,2012-10-22,7,5.764163E-4
neon trees,2012-10-22,35,0.0028820818
nickelback,2012-10-22,28,0.0023056653
papa roach,2012-10-22,5,4.1172595E-4
pink floyd,2012-10-22,11,9.057971E-4
portishead,2012-10-22,1,8.234519E-5
rob thomas,2012-10-22,1,8.234519E-5
rob zombie,2012-10-22,3,2.4703558E-4
rudimental,2012-10-22,1,8.234519E-5
steely dan,2012-10-22,2,1.6469038E-4
stone sour,2012-10-22,1,8.234519E-5
the remote,2012-10-22,24,0.0019762847
the script,2012-10-22,16,0.0013175231
the smiths,2012-10-22,3,2.4703558E-4
the wanted,2012-10-22,5,4.1172595E-4
the weeknd,2012-10-22,138,0.011363637
tim mcgraw,2012-10-22,24,0.0019762847
toby keith,2012-10-22,9,7.411067E-4
wolfmother,2012-10-22,1,8.234519E-5
alicia keys,2012-10-22,34,0.0027997366
chris brown,2012-10-22,209,0.017210145
chris cagle,2012-10-22,1,8.234519E-5
david bowie,2012-10-22,3,2.4703558E-4
